Time,Open,High,Low,Close,Volume
2024.07.30 06:00,1.49868,1.49883,1.49845,1.49849,2094
2024.07.30 07:00,1.4985,1.4985,1.49814,1.49842,1812
2024.07.30 08:00,1.49841,1.49846,1.49793,1.49793,2183
2024.07.30 09:00,1.49788,1.49879,1.4977,1.49838,3178
2024.07.30 10:00,1.49825,1.49894,1.49772,1.49803,4153
2024.07.30 11:00,1.49811,1.49952,1.49782,1.49884,4303
2024.07.30 12:00,1.49881,1.49974,1.49881,1.49936,3310
2024.07.30 13:00,1.49938,1.50023,1.49938,1.50003,2677
2024.07.30 14:00,1.50003,1.50009,1.49941,1.49957,2817
2024.07.30 15:00,1.49954,1.49987,1.49739,1.49742,4354
2024.07.30 16:00,1.49738,1.49873,1.49685,1.49733,5409
2024.07.30 17:00,1.49722,1.49727,1.4952,1.49608,6333
2024.07.30 18:00,1.49609,1.49749,1.4959,1.49681,4936
2024.07.30 19:00,1.49682,1.4973,1.49639,1.49711,4640
2024.07.30 20:00,1.49711,1.49779,1.49691,1.49729,4791
2024.07.30 21:00,1.4973,1.49763,1.49708,1.49733,3273
2024.07.30 22:00,1.49734,1.49796,1.49706,1.49763,2942
2024.07.30 23:00,1.49765,1.498,1.49731,1.49744,2099
2024.07.31 00:00,1.49739,1.49739,1.49668,1.49697,586
2024.07.31 01:00,1.49704,1.49782,1.49694,1.49773,1829
2024.07.31 02:00,1.49778,1.49809,1.49757,1.49773,2036
2024.07.31 03:00,1.49773,1.49874,1.49766,1.49869,3204
2024.07.31 04:00,1.49868,1.49928,1.49831,1.49859,4256
2024.07.31 05:00,1.49858,1.4991,1.49824,1.49889,3095
2024.07.31 06:00,1.49889,1.49904,1.49822,1.49829,2851
2024.07.31 07:00,1.4983,1.49875,1.49819,1.49866,3240
2024.07.31 08:00,1.49866,1.49877,1.49822,1.49837,3095
2024.07.31 09:00,1.49842,1.49844,1.49669,1.49757,4844
2024.07.31 10:00,1.49755,1.49759,1.49642,1.49706,5630
2024.07.31 11:00,1.49702,1.49895,1.49619,1.49829,5238
2024.07.31 12:00,1.4983,1.49905,1.4982,1.4986,4260
2024.07.31 13:00,1.4986,1.49962,1.49849,1.49899,3613
2024.07.31 14:00,1.49899,1.49924,1.49741,1.4976,3652
2024.07.31 15:00,1.49758,1.49913,1.49679,1.49714,5386
2024.07.31 16:00,1.49713,1.49844,1.49699,1.49757,5371
2024.07.31 17:00,1.49756,1.49787,1.49419,1.4948,6051
2024.07.31 18:00,1.49482,1.49533,1.49383,1.49417,5109
2024.07.31 19:00,1.49412,1.49418,1.49192,1.49249,4229
2024.07.31 20:00,1.4925,1.49387,1.49223,1.49355,3609
2024.07.31 21:00,1.49336,1.4941,1.49274,1.4935,6946
2024.07.31 22:00,1.49346,1.49474,1.49331,1.49433,6410
2024.07.31 23:00,1.49431,1.49502,1.49383,1.4944,2537
2024.08.01 00:00,1.49422,1.49422,1.49356,1.49404,390
2024.08.01 01:00,1.49405,1.49459,1.49397,1.49403,987
2024.08.01 02:00,1.49404,1.49457,1.49385,1.49447,1548
2024.08.01 03:00,1.49447,1.49536,1.49445,1.49519,3891
2024.08.01 04:00,1.49518,1.49601,1.49509,1.49569,4419
2024.08.01 05:00,1.49568,1.49593,1.494,1.49409,3647
2024.08.01 06:00,1.4941,1.49566,1.49405,1.49558,2697
2024.08.01 07:00,1.49558,1.49578,1.49476,1.49481,2600
2024.08.01 08:00,1.49481,1.49526,1.4945,1.4952,3019
2024.08.01 09:00,1.4952,1.49573,1.49347,1.49436,5012
2024.08.01 10:00,1.49435,1.495,1.49279,1.49297,5184
2024.08.01 11:00,1.49297,1.49306,1.49141,1.49168,4913
2024.08.01 12:00,1.49167,1.49169,1.4907,1.49073,4348
2024.08.01 13:00,1.49079,1.4917,1.4905,1.49094,3451
2024.08.01 14:00,1.49098,1.4921,1.49044,1.49157,4687
2024.08.01 15:00,1.49156,1.49337,1.4908,1.49129,5870
2024.08.01 16:00,1.49128,1.49158,1.48949,1.49096,6246
2024.08.01 17:00,1.49084,1.49388,1.49084,1.493,7220
2024.08.01 18:00,1.49301,1.49424,1.49266,1.49376,5949
2024.08.01 19:00,1.49377,1.49492,1.49367,1.49428,5109
2024.08.01 20:00,1.49426,1.49655,1.49411,1.49615,4607
2024.08.01 21:00,1.49617,1.49786,1.49597,1.4973,4613
2024.08.01 22:00,1.49732,1.49769,1.49654,1.49678,5316
2024.08.01 23:00,1.49675,1.49747,1.49653,1.49673,2796
2024.08.02 00:00,1.49654,1.49694,1.49604,1.49653,555
2024.08.02 01:00,1.49653,1.49782,1.49651,1.49771,1864
2024.08.02 02:00,1.49772,1.49792,1.49701,1.49722,2497
2024.08.02 03:00,1.49726,1.4981,1.49721,1.49778,4279
2024.08.02 04:00,1.49779,1.49803,1.49609,1.49651,3651
2024.08.02 05:00,1.49652,1.49723,1.49573,1.49577,3663
2024.08.02 06:00,1.49576,1.49646,1.49564,1.49627,2718
2024.08.02 07:00,1.49628,1.49655,1.49585,1.49647,2893
2024.08.02 08:00,1.49646,1.4971,1.49639,1.497,3615
2024.08.02 09:00,1.49698,1.49758,1.4958,1.49646,4928
2024.08.02 10:00,1.49642,1.49864,1.49558,1.49864,5999
2024.08.02 11:00,1.49865,1.50065,1.49865,1.50049,5181
2024.08.02 12:00,1.50047,1.50237,1.50047,1.5014,4515
2024.08.02 13:00,1.50141,1.50167,1.50073,1.50152,4190
2024.08.02 14:00,1.50149,1.50461,1.50145,1.50331,4602
2024.08.02 15:00,1.50332,1.50926,1.50207,1.50915,6701
2024.08.02 16:00,1.50912,1.51061,1.50718,1.51053,7278
2024.08.02 17:00,1.51051,1.51363,1.50894,1.51338,6374
2024.08.02 18:00,1.51339,1.51391,1.51104,1.51107,6184
2024.08.02 19:00,1.51107,1.51281,1.51032,1.51258,6153
2024.08.02 20:00,1.51259,1.51366,1.51184,1.51361,5243
2024.08.02 21:00,1.5136,1.51391,1.51253,1.51347,5053
2024.08.02 22:00,1.51345,1.51359,1.51252,1.51282,5230
2024.08.02 23:00,1.51285,1.51364,1.51249,1.51313,2526
2024.08.05 00:00,1.51299,1.51397,1.51193,1.51372,1352
2024.08.05 01:00,1.51373,1.51391,1.5126,1.51264,2944
2024.08.05 02:00,1.51262,1.51473,1.51261,1.51462,4394
2024.08.05 03:00,1.51461,1.51616,1.51437,1.51501,6002
2024.08.05 04:00,1.51499,1.51548,1.51316,1.51474,6214
2024.08.05 05:00,1.51473,1.51496,1.51321,1.51446,5158
2024.08.05 06:00,1.51446,1.51606,1.51435,1.51597,4712
2024.08.05 07:00,1.51599,1.51797,1.51586,1.517,5686
2024.08.05 08:00,1.517,1.51942,1.51636,1.51864,6721
2024.08.05 09:00,1.51874,1.52163,1.51333,1.51588,8679
2024.08.05 10:00,1.51584,1.52134,1.51526,1.51939,8270
2024.08.05 11:00,1.51936,1.52206,1.51932,1.51989,7260
2024.08.05 12:00,1.5199,1.52063,1.51843,1.51906,6829
2024.08.05 13:00,1.519,1.519,1.51607,1.51682,6135
2024.08.05 14:00,1.5168,1.51847,1.51626,1.51819,6332
2024.08.05 15:00,1.51817,1.52134,1.51711,1.52052,7962
2024.08.05 16:00,1.52053,1.52272,1.51726,1.51739,8430
2024.08.05 17:00,1.51727,1.51953,1.51463,1.51933,8550
2024.08.05 18:00,1.5192,1.51974,1.51384,1.51404,7536
2024.08.05 19:00,1.51404,1.5173,1.51386,1.51703,6843
2024.08.05 20:00,1.51699,1.51752,1.51504,1.51504,6527
2024.08.05 21:00,1.51503,1.51546,1.51422,1.51465,5495
2024.08.05 22:00,1.51464,1.51534,1.5142,1.51483,4820
2024.08.05 23:00,1.51482,1.51536,1.51368,1.51393,2649
2024.08.06 00:00,1.51351,1.51371,1.51237,1.51329,442
2024.08.06 01:00,1.51325,1.51412,1.51263,1.51263,2243
2024.08.06 02:00,1.51263,1.51279,1.51133,1.51166,3780
2024.08.06 03:00,1.51168,1.51251,1.51128,1.51218,6281
2024.08.06 04:00,1.51218,1.51345,1.51182,1.51253,5690
2024.08.06 05:00,1.5125,1.51345,1.51242,1.51272,4721
2024.08.06 06:00,1.51268,1.51312,1.5123,1.5131,4028
2024.08.06 07:00,1.51314,1.51366,1.51271,1.51351,4479
2024.08.06 08:00,1.51352,1.51421,1.51245,1.51298,5604
2024.08.06 09:00,1.51301,1.51311,1.51172,1.51254,6548
2024.08.06 10:00,1.51253,1.51383,1.51108,1.51162,6891
2024.08.06 11:00,1.51161,1.51273,1.5108,1.51175,6318
2024.08.06 12:00,1.51174,1.51183,1.51054,1.51072,6104
2024.08.06 13:00,1.5107,1.51156,1.50917,1.50963,5716
2024.08.06 14:00,1.50962,1.51128,1.50891,1.51127,5106
2024.08.06 15:00,1.51124,1.51144,1.50915,1.50934,6378
2024.08.06 16:00,1.50937,1.51014,1.50737,1.50791,7399
2024.08.06 17:00,1.50793,1.50989,1.50616,1.50959,7319
2024.08.06 18:00,1.50959,1.50967,1.50643,1.50665,6743
2024.08.06 19:00,1.50665,1.50767,1.50514,1.50562,5566
2024.08.06 20:00,1.50564,1.50578,1.50349,1.50383,5188
2024.08.06 21:00,1.50384,1.50488,1.50349,1.50464,4746
2024.08.06 22:00,1.50465,1.50564,1.50446,1.5056,6275
2024.08.06 23:00,1.50559,1.50653,1.5053,1.50646,3092
2024.08.07 00:00,1.506,1.50622,1.50459,1.50567,598
2024.08.07 01:00,1.50565,1.50652,1.50516,1.5064,2385
2024.08.07 02:00,1.50643,1.50676,1.50591,1.50632,2959
2024.08.07 03:00,1.50631,1.5066,1.50492,1.50577,4595
2024.08.07 04:00,1.50574,1.50609,1.50333,1.50451,5361
2024.08.07 05:00,1.50449,1.50484,1.50346,1.50398,4981
2024.08.07 06:00,1.50399,1.50415,1.50274,1.50291,3860
2024.08.07 07:00,1.50291,1.50315,1.50253,1.50276,3846
2024.08.07 08:00,1.50274,1.50326,1.50208,1.50304,4656
2024.08.07 09:00,1.50297,1.50373,1.50259,1.5032,5215
2024.08.07 10:00,1.50319,1.50461,1.50315,1.50336,6359
2024.08.07 11:00,1.50335,1.50345,1.50153,1.50164,5248
2024.08.07 12:00,1.50165,1.50193,1.50013,1.50053,4946
2024.08.07 13:00,1.50056,1.50155,1.49997,1.50053,4389
2024.08.07 14:00,1.50051,1.50151,1.50007,1.50095,4275
2024.08.07 15:00,1.50096,1.50139,1.49949,1.50077,5041
