Time,Open,High,Low,Close,Volume
2024.07.30 06:00,111.175,111.299,111.153,111.266,2930
2024.07.30 07:00,111.267,111.569,111.267,111.558,3381
2024.07.30 08:00,111.558,111.781,111.549,111.721,4463
2024.07.30 09:00,111.718,112.101,111.651,111.984,5291
2024.07.30 10:00,111.985,112.059,111.764,111.85,5541
2024.07.30 11:00,111.85,111.93,111.677,111.732,4638
2024.07.30 12:00,111.731,111.929,111.722,111.833,3781
2024.07.30 13:00,111.834,111.885,111.727,111.742,2995
2024.07.30 14:00,111.742,111.844,111.71,111.795,2969
2024.07.30 15:00,111.795,111.88,111.71,111.762,4754
2024.07.30 16:00,111.763,111.766,111.375,111.413,6918
2024.07.30 17:00,111.395,111.702,111.395,111.654,7006
2024.07.30 18:00,111.653,111.653,110.922,111.004,7350
2024.07.30 19:00,110.999,111.098,110.633,110.68,6436
2024.07.30 20:00,110.684,110.762,110.495,110.65,6356
2024.07.30 21:00,110.648,110.787,110.575,110.651,4548
2024.07.30 22:00,110.65,110.693,110.583,110.636,3586
2024.07.30 23:00,110.636,110.647,110.198,110.262,3032
2024.07.31 00:00,110.258,110.295,110.169,110.186,750
2024.07.31 01:00,110.195,110.569,110.052,110.386,3889
2024.07.31 02:00,110.378,110.455,110.067,110.236,4306
2024.07.31 03:00,110.239,110.265,109.852,109.999,5670
2024.07.31 04:00,110.005,110.155,109.826,110.069,5265
2024.07.31 05:00,110.069,110.762,110.018,110.422,4535
2024.07.31 06:00,110.421,111.09,109.487,110.942,4500
2024.07.31 07:00,110.918,111.148,110.089,110.187,5544
2024.07.31 08:00,110.181,110.628,110.139,110.436,5039
2024.07.31 09:00,110.423,110.579,110.026,110.031,6153
2024.07.31 10:00,110.03,110.119,108.857,109.054,7395
2024.07.31 11:00,109.053,109.099,108.386,109.003,7574
2024.07.31 12:00,109.007,109.022,108.61,108.65,5818
2024.07.31 13:00,108.645,108.815,108.467,108.767,5578
2024.07.31 14:00,108.767,108.839,108.504,108.593,5862
2024.07.31 15:00,108.596,108.953,108.367,108.849,7304
2024.07.31 16:00,108.848,108.873,108.454,108.481,7075
2024.07.31 17:00,108.471,109.064,108.346,108.899,7746
2024.07.31 18:00,108.898,109.047,108.782,108.924,6545
2024.07.31 19:00,108.923,109.125,108.915,109.038,5571
2024.07.31 20:00,109.039,109.311,109.022,109.191,4984
2024.07.31 21:00,109.174,109.454,108.95,109.056,7792
2024.07.31 22:00,109.062,109.114,108.41,108.49,8013
2024.07.31 23:00,108.485,108.856,108.437,108.634,3488
2024.08.01 00:00,108.609,108.609,108.47,108.521,467
2024.08.01 01:00,108.522,108.78,108.455,108.776,1793
2024.08.01 02:00,108.778,108.881,108.393,108.467,3765
2024.08.01 03:00,108.469,108.552,108.138,108.204,6597
2024.08.01 04:00,108.204,108.229,107.551,107.959,7068
2024.08.01 05:00,107.978,108.518,107.858,108.502,6198
2024.08.01 06:00,108.504,108.522,108.198,108.317,5104
2024.08.01 07:00,108.312,108.416,108.168,108.398,4757
2024.08.01 08:00,108.398,108.643,108.372,108.423,5347
2024.08.01 09:00,108.422,108.807,108.3,108.572,6953
2024.08.01 10:00,108.571,108.656,108.371,108.406,6823
2024.08.01 11:00,108.397,108.43,108.034,108.21,6750
2024.08.01 12:00,108.212,108.408,108.152,108.395,5566
2024.08.01 13:00,108.395,108.624,108.393,108.499,4820
2024.08.01 14:00,108.498,108.968,108.462,108.894,5635
2024.08.01 15:00,108.896,109.209,108.675,109.203,7117
2024.08.01 16:00,109.203,109.225,108.924,109.014,7318
2024.08.01 17:00,109.016,109.016,108.319,108.449,8374
2024.08.01 18:00,108.442,108.489,108.271,108.363,7100
2024.08.01 19:00,108.362,108.435,108.062,108.187,6322
2024.08.01 20:00,108.186,108.214,107.892,107.992,5899
2024.08.01 21:00,107.986,108.022,107.675,107.699,5798
2024.08.01 22:00,107.704,108.023,107.645,107.95,5653
2024.08.01 23:00,107.951,107.956,107.57,107.589,3236
2024.08.02 00:00,107.574,107.623,107.534,107.608,726
2024.08.02 01:00,107.611,107.674,107.354,107.549,2772
2024.08.02 02:00,107.552,107.552,107.285,107.489,4539
2024.08.02 03:00,107.489,107.632,107.257,107.619,6643
2024.08.02 04:00,107.624,107.98,107.611,107.793,5957
2024.08.02 05:00,107.794,107.974,107.526,107.893,5256
2024.08.02 06:00,107.896,107.957,107.741,107.83,4181
2024.08.02 07:00,107.829,107.909,107.686,107.691,4292
2024.08.02 08:00,107.69,107.766,107.438,107.492,5066
2024.08.02 09:00,107.473,107.721,107.356,107.386,6647
2024.08.02 10:00,107.377,107.611,107.186,107.563,7111
2024.08.02 11:00,107.567,107.647,107.246,107.438,6012
2024.08.02 12:00,107.439,107.457,107.236,107.297,4750
2024.08.02 13:00,107.294,107.362,107.166,107.251,4995
2024.08.02 14:00,107.253,107.466,107.252,107.354,5252
2024.08.02 15:00,107.355,107.466,105.947,106.396,7963
2024.08.02 16:00,106.404,107.028,106.169,106.181,8601
2024.08.02 17:00,106.176,106.496,105.766,105.853,7080
2024.08.02 18:00,105.854,106.242,105.641,106.15,7291
2024.08.02 19:00,106.151,106.468,105.869,105.933,7655
2024.08.02 20:00,105.935,106.033,105.822,105.845,6658
2024.08.02 21:00,105.845,105.964,105.603,105.629,5656
2024.08.02 22:00,105.63,105.798,105.609,105.73,5693
2024.08.02 23:00,105.73,105.741,105.55,105.578,2808
2024.08.05 00:00,105.503,105.607,105.497,105.572,1236
2024.08.05 01:00,105.568,105.613,105.175,105.491,3548
2024.08.05 02:00,105.49,105.519,104.628,104.867,5926
2024.08.05 03:00,104.862,105.109,104.561,104.853,7818
2024.08.05 04:00,104.852,104.894,104.3,104.596,7547
2024.08.05 05:00,104.588,104.977,104.532,104.657,6243
2024.08.05 06:00,104.658,104.689,103.94,104.085,6090
2024.08.05 07:00,104.084,104.131,102.439,103.179,7101
2024.08.05 08:00,103.169,103.485,102.344,102.506,7629
2024.08.05 09:00,102.476,103.043,101.647,102.685,7862
2024.08.05 10:00,102.684,103.776,102.679,103.378,7674
2024.08.05 11:00,103.375,103.437,102.334,102.579,6940
2024.08.05 12:00,102.586,102.713,102.114,102.577,6982
2024.08.05 13:00,102.573,102.785,102.265,102.755,5965
2024.08.05 14:00,102.773,103.129,102.705,102.754,6114
2024.08.05 15:00,102.731,102.92,102.538,102.814,7430
2024.08.05 16:00,102.812,103.506,102.66,103.201,7809
2024.08.05 17:00,103.252,104.078,103.004,103.082,8665
2024.08.05 18:00,103.09,104.187,102.837,104.165,7519
2024.08.05 19:00,104.161,104.803,104.021,104.157,7222
2024.08.05 20:00,104.156,104.488,104.007,104.105,6171
2024.08.05 21:00,104.108,104.253,103.67,103.72,6015
2024.08.05 22:00,103.712,104.017,103.704,103.978,4963
2024.08.05 23:00,103.98,104.308,103.961,104.26,3224
2024.08.06 00:00,104.246,104.246,104.141,104.141,432
2024.08.06 01:00,104.142,104.89,103.937,104.821,3291
2024.08.06 02:00,104.823,105.631,104.823,105.612,5783
2024.08.06 03:00,105.617,105.994,104.974,105.139,7297
2024.08.06 04:00,105.139,105.428,104.501,104.86,5795
2024.08.06 05:00,104.862,105.226,104.435,105.192,5247
2024.08.06 06:00,105.194,105.651,105.063,105.217,4827
2024.08.06 07:00,105.213,105.405,105.03,105.288,4769
2024.08.06 08:00,105.29,105.749,104.969,105.524,6717
2024.08.06 09:00,105.523,105.831,105.179,105.319,6947
2024.08.06 10:00,105.322,105.49,104.912,105.024,7727
2024.08.06 11:00,105.023,105.09,104.421,104.745,7617
2024.08.06 12:00,104.743,104.743,104.36,104.549,7148
2024.08.06 13:00,104.546,104.871,104.236,104.693,6922
2024.08.06 14:00,104.692,105.14,104.692,104.849,6802
2024.08.06 15:00,104.842,104.967,104.397,104.474,7691
2024.08.06 16:00,104.471,104.671,104.185,104.546,8303
2024.08.06 17:00,104.548,105.132,104.439,104.657,8475
2024.08.06 18:00,104.658,105.297,104.658,105.22,7828
2024.08.06 19:00,105.219,105.556,105.118,105.503,6881
2024.08.06 20:00,105.504,105.631,105.256,105.59,6176
2024.08.06 21:00,105.591,105.607,105.318,105.318,5414
2024.08.06 22:00,105.316,105.357,105.06,105.063,6189
2024.08.06 23:00,105.058,105.117,104.558,104.657,3867
2024.08.07 00:00,104.638,104.927,104.607,104.808,652
2024.08.07 01:00,104.808,104.983,104.702,104.869,3356
2024.08.07 02:00,104.883,104.988,104.744,104.982,4301
2024.08.07 03:00,104.98,105.441,104.847,105.049,6780
2024.08.07 04:00,105.05,107.046,104.912,106.468,7266
2024.08.07 05:00,106.48,106.655,106.162,106.58,5889
2024.08.07 06:00,106.568,107.014,106.429,106.853,5163
2024.08.07 07:00,106.853,107.424,106.843,107.18,4933
2024.08.07 08:00,107.178,107.339,106.575,106.678,6316
2024.08.07 09:00,106.672,106.801,106.283,106.429,6566
