Time,Open,High,Low,Close,Volume
2024.07.25 10:00,152.849,152.938,152.05,152.194,6483
2024.07.25 11:00,152.195,152.753,151.939,152.706,5950
2024.07.25 12:00,152.71,152.741,152.246,152.306,4626
2024.07.25 13:00,152.307,152.36,152.088,152.207,4005
2024.07.25 14:00,152.206,152.733,152.172,152.725,4222
2024.07.25 15:00,152.724,153.737,152.552,153.521,6998
2024.07.25 16:00,153.522,154.192,153.417,153.654,7407
2024.07.25 17:00,153.66,153.741,153.23,153.644,6235
2024.07.25 18:00,153.64,154.102,153.632,153.978,5328
2024.07.25 19:00,153.978,154.317,153.9,154.027,5279
2024.07.25 20:00,154.026,154.042,153.749,154.032,5182
2024.07.25 21:00,154.03,154.048,153.771,153.792,4029
2024.07.25 22:00,153.787,153.916,153.786,153.913,2765
2024.07.25 23:00,153.913,154.034,153.808,153.907,1346
2024.07.26 00:00,153.908,153.913,153.83,153.911,72
2024.07.26 01:00,153.911,153.975,153.89,153.903,1104
2024.07.26 02:00,153.9,153.902,153.37,153.699,4478
2024.07.26 03:00,153.701,154.145,153.401,153.922,5426
2024.07.26 04:00,153.925,154.089,153.435,153.592,4845
2024.07.26 05:00,153.584,153.969,153.568,153.921,3290
2024.07.26 06:00,153.919,153.919,153.736,153.751,2467
2024.07.26 07:00,153.75,153.829,153.591,153.677,2378
2024.07.26 08:00,153.675,153.806,153.503,153.645,3216
2024.07.26 09:00,153.634,153.755,153.541,153.636,5368
2024.07.26 10:00,153.636,154.172,153.567,153.916,5100
2024.07.26 11:00,153.916,154.432,153.864,154.301,5270
2024.07.26 12:00,154.3,154.357,154.033,154.205,4268
2024.07.26 13:00,154.206,154.648,154.198,154.565,4006
2024.07.26 14:00,154.564,154.736,154.519,154.614,4294
2024.07.26 15:00,154.611,154.723,154.025,154.214,5898
2024.07.26 16:00,154.215,154.217,153.669,153.809,6740
2024.07.26 17:00,153.791,154.101,153.088,153.5,6852
2024.07.26 18:00,153.501,153.877,153.494,153.877,4877
2024.07.26 19:00,153.866,153.867,153.706,153.781,3307
2024.07.26 20:00,153.78,153.875,153.674,153.731,2740
2024.07.26 21:00,153.733,153.825,153.709,153.729,2733
2024.07.26 22:00,153.731,153.768,153.682,153.758,2095
2024.07.26 23:00,153.757,153.796,153.731,153.773,826
2024.07.29 00:00,153.6,153.78,153.452,153.506,388
2024.07.29 01:00,153.534,154.022,153.534,154.017,2618
2024.07.29 02:00,154.019,154.211,153.981,154.146,3807
2024.07.29 03:00,154.15,154.349,153.524,153.661,5606
2024.07.29 04:00,153.655,153.834,153.24,153.439,5885
2024.07.29 05:00,153.447,153.534,153.012,153.417,5073
2024.07.29 06:00,153.417,153.693,153.328,153.512,3644
2024.07.29 07:00,153.513,153.606,153.327,153.415,3727
2024.07.29 08:00,153.412,153.668,153.303,153.384,3992
2024.07.29 09:00,153.376,153.448,153.14,153.354,5068
